index;included;reason;reason_other;search query;name;full_name;description;fork;html_url
1;true;REASON;REASON_OTHER;pipeline data dashboard visualization;opensearch-catalog;opensearch-project/opensearch-catalog;The OpenSearch Catalog is designed to make it easier for developers and community to contribute, search and install artifacts like plugins, visualization dashboards, ingestion to visualization content packs (data pipeline configurations, normalization, ingestion, dashboards).;false;https://github.com/opensearch-project/opensearch-catalog
4;true;REASON;REASON_OTHER;pipeline data dashboard visualization;ETL-Data-Pipelines-Data-Warehousing-Business-Intelligence-;akashmdubey/ETL-Data-Pipelines-Data-Warehousing-Business-Intelligence-;This project challenged us to process and integrate data coming in from a variety of sources - IMDb data, movie rating data from MovieLens, and The Numbers data. We utilized multiple features of the Talend and SQL server to optimize the complete ETL process    We then visualized the integrated data from our dimensional model in #Tableau and #PowerBI dashboards showcasing some core KPIs and metrics.    This project helped us understand the various challenges faced while building data integration pipelines and business intelligence applications. ;false;https://github.com/akashmdubey/ETL-Data-Pipelines-Data-Warehousing-Business-Intelligence-
6;true;REASON;REASON_OTHER;pipeline data dashboard visualization;Ecommerce-Analytics-Dashboard;Baci-Ak/Ecommerce-Analytics-Dashboard;An E-commerce Analytics Dashboard project showcasing data pipeline automation with Apache NiFi, data analysis with SQL and Python, and interactive data visualization using Tableau.;false;https://github.com/Baci-Ak/Ecommerce-Analytics-Dashboard
14;true;REASON;REASON_OTHER;pipeline framework language:python@page2;APF;alercebroker/APF;apf is a framework developed to create a dockerized pipeline to process an alert stream, that can be easily be deployed in a local machine or distributed using Kubernetes.;false;https://github.com/alercebroker/APF
16;true;REASON;REASON_OTHER;pipeline framework language:python@page2;griptape-flow;griptape-ai/griptape-flow;Python framework for building LLM workflows and pipelines with memory, rules, and chain of thought reasoning.;false;https://github.com/griptape-ai/griptape-flow
17;true;REASON;REASON_OTHER;pipeline framework language:python@page2;moona;katunilya/moona;Fairly simple railroad-oriented ASGI framework powered by monads and pipelines;false;https://github.com/katunilya/moona
18;true;REASON;REASON_OTHER;pipeline framework language:python@page2;ParSeq;kklmn/ParSeq;Python software library for Parallel execution of Sequential data analysis.;false;https://github.com/kklmn/ParSeq
19;true;REASON;REASON_OTHER;pipeline framework language:python@page2;drf-pipeline-views;MrThearMan/drf-pipeline-views;Django REST framework views using the pipeline pattern;false;https://github.com/MrThearMan/drf-pipeline-views
21;true;REASON;REASON_OTHER;pipeline framework language:python@page2;auto-generated-pipeline-framework;jason-jz-zhu/auto-generated-pipeline-framework;;false;https://github.com/jason-jz-zhu/auto-generated-pipeline-framework
22;true;REASON;REASON_OTHER;pipeline framework language:python@page2;pipedown;brendanhasz/pipedown;A data science pipelining framework for Python :shushing_face:;false;https://github.com/brendanhasz/pipedown
